Description	
Number of Runs	4000
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	2	5	12/17/23 08:05:37 AM	
2	880	3	5	12/17/23 08:05:42 AM	
3	880	0	5	12/17/23 08:05:47 AM	
4	880	3	5	12/17/23 08:05:52 AM	
5	880	1	5	12/17/23 08:05:57 AM	
6	880	0	5	12/17/23 08:06:03 AM	
7	880	1	5	12/17/23 08:06:08 AM	
8	880	0	5	12/17/23 08:06:13 AM	
9	880	1	5	12/17/23 08:06:18 AM	
10	880	4	5	12/17/23 08:06:23 AM	
11	880	0	5	12/17/23 08:06:28 AM	
12	880	1	5	12/17/23 08:06:34 AM	
13	880	3	5	12/17/23 08:06:39 AM	
14	880	2	5	12/17/23 08:06:44 AM	
15	880	1	5	12/17/23 08:06:49 AM	
16	880	0	5	12/17/23 08:06:54 AM	
17	880	1	5	12/17/23 08:07:00 AM	
18	880	0	5	12/17/23 08:07:05 AM	
19	880	0	5	12/17/23 08:07:10 AM	
20	880	4	5	12/17/23 08:07:15 AM	
21	880	0	5	12/17/23 08:07:20 AM	
22	880	0	5	12/17/23 08:07:26 AM	
23	880	1	5	12/17/23 08:07:31 AM	
24	880	2	5	12/17/23 08:07:36 AM	
25	880	0	5	12/17/23 08:07:41 AM	
26	880	2	5	12/17/23 08:07:46 AM	
27	880	1	5	12/17/23 08:07:52 AM	
28	880	0	5	12/17/23 08:07:57 AM	
29	880	2	5	12/17/23 08:08:02 AM	
30	880	1	5	12/17/23 08:08:07 AM	
31	880	1	5	12/17/23 08:08:12 AM	
32	880	0	5	12/17/23 08:08:18 AM	
33	880	2	5	12/17/23 08:08:23 AM	
34	880	1	5	12/17/23 08:08:28 AM	
35	880	0	5	12/17/23 08:08:33 AM	
36	880	1	5	12/17/23 08:08:38 AM	
37	880	1	5	12/17/23 08:08:44 AM	
38	880	1	5	12/17/23 08:08:49 AM	
39	880	3	5	12/17/23 08:08:54 AM	
40	880	1	5	12/17/23 08:08:59 AM	
41	880	1	5	12/17/23 08:09:04 AM	
42	880	1	5	12/17/23 08:09:09 AM	
43	880	0	5	12/17/23 08:09:15 AM	
44	880	1	5	12/17/23 08:09:20 AM	
45	880	0	5	12/17/23 08:09:25 AM	
46	880	3	5	12/17/23 08:09:30 AM	
47	880	1	5	12/17/23 08:09:35 AM	
48	880	1	5	12/17/23 08:09:40 AM	
49	880	2	5	12/17/23 08:09:46 AM	
50	880	4	5	12/17/23 08:09:51 AM	
51	880	2	5	12/17/23 08:09:56 AM	
52	880	0	5	12/17/23 08:10:01 AM	
53	880	1	5	12/17/23 08:10:06 AM	
54	880	0	5	12/17/23 08:10:11 AM	
55	880	3	5	12/17/23 08:10:17 AM	
56	880	4	5	12/17/23 08:10:22 AM	
57	880	0	5	12/17/23 08:10:27 AM	
58	880	4	5	12/17/23 08:10:32 AM	
59	880	0	5	12/17/23 08:10:37 AM	
60	880	0	5	12/17/23 08:10:42 AM	
61	880	2	5	12/17/23 08:10:48 AM	
62	880	3	5	12/17/23 08:10:53 AM	
63	880	5	5	12/17/23 08:10:58 AM	
64	880	0	5	12/17/23 08:11:03 AM	
65	880	0	5	12/17/23 08:11:08 AM	
66	880	1	5	12/17/23 08:11:14 AM	
67	880	3	5	12/17/23 08:11:19 AM	
68	880	1	5	12/17/23 08:11:24 AM	
69	880	1	5	12/17/23 08:11:29 AM	
70	880	0	5	12/17/23 08:11:34 AM	
71	880	1	5	12/17/23 08:11:39 AM	
72	880	1	5	12/17/23 08:11:45 AM	
73	880	0	5	12/17/23 08:11:50 AM	
74	880	3	5	12/17/23 08:11:55 AM	
75	880	0	5	12/17/23 08:12:00 AM	
76	880	2	5	12/17/23 08:12:05 AM	
77	880	0	5	12/17/23 08:12:10 AM	
78	880	1	5	12/17/23 08:12:16 AM	
79	880	1	5	12/17/23 08:12:21 AM	
80	880	0	5	12/17/23 08:12:26 AM	
81	880	2	5	12/17/23 08:12:31 AM	
82	880	0	5	12/17/23 08:12:36 AM	
83	880	3	5	12/17/23 08:12:42 AM	
84	880	0	5	12/17/23 08:12:47 AM	
85	880	2	5	12/17/23 08:12:52 AM	
86	880	1	5	12/17/23 08:12:57 AM	
87	880	0	5	12/17/23 08:13:02 AM	
88	880	0	5	12/17/23 08:13:08 AM	
89	880	1	5	12/17/23 08:13:13 AM	
90	880	2	5	12/17/23 08:13:18 AM	
91	880	0	5	12/17/23 08:13:23 AM	
92	880	1	5	12/17/23 08:13:28 AM	
93	880	1	5	12/17/23 08:13:33 AM	
94	880	2	5	12/17/23 08:13:39 AM	
95	880	0	5	12/17/23 08:13:44 AM	
96	880	1	5	12/17/23 08:13:49 AM	
97	880	0	5	12/17/23 08:13:54 AM	
98	880	2	5	12/17/23 08:13:59 AM	
99	880	0	5	12/17/23 08:14:05 AM	
100	880	0	5	12/17/23 08:14:10 AM	
101	880	2	5	12/17/23 08:14:15 AM	
102	880	4	5	12/17/23 08:14:20 AM	
103	880	2	5	12/17/23 08:14:25 AM	
104	880	1	5	12/17/23 08:14:30 AM	
105	880	0	5	12/17/23 08:14:36 AM	
106	880	1	5	12/17/23 08:14:41 AM	
107	880	2	5	12/17/23 08:14:46 AM	
108	880	1	5	12/17/23 08:14:51 AM	
109	880	2	5	12/17/23 08:14:56 AM	
110	880	1	5	12/17/23 08:15:02 AM	
111	880	3	5	12/17/23 08:15:07 AM	
112	880	2	5	12/17/23 08:15:12 AM	
113	880	1	5	12/17/23 08:15:17 AM	
114	880	1	5	12/17/23 08:15:22 AM	
115	880	0	5	12/17/23 08:15:28 AM	
116	880	1	5	12/17/23 08:15:33 AM	
117	880	1	5	12/17/23 08:15:38 AM	
118	880	0	5	12/17/23 08:15:43 AM	
119	880	0	5	12/17/23 08:15:48 AM	
120	880	0	5	12/17/23 08:15:53 AM	
121	880	1	5	12/17/23 08:15:59 AM	
122	880	2	5	12/17/23 08:16:04 AM	
123	880	1	5	12/17/23 08:16:09 AM	
124	880	0	5	12/17/23 08:16:14 AM	
125	880	1	5	12/17/23 08:16:19 AM	
126	880	1	5	12/17/23 08:16:25 AM	
127	880	1	5	12/17/23 08:16:30 AM	
128	880	2	5	12/17/23 08:16:35 AM	
129	880	1	5	12/17/23 08:16:40 AM	
130	880	0	5	12/17/23 08:16:45 AM	
131	880	1	5	12/17/23 08:16:50 AM	
132	880	1	5	12/17/23 08:16:56 AM	
133	880	1	5	12/17/23 08:17:01 AM	
134	880	2	5	12/17/23 08:17:06 AM	
135	880	2	5	12/17/23 08:17:11 AM	
136	880	2	5	12/17/23 08:17:16 AM	
137	880	2	5	12/17/23 08:17:22 AM	
138	880	1	5	12/17/23 08:17:27 AM	
139	880	2	5	12/17/23 08:17:32 AM	
140	880	1	5	12/17/23 08:17:37 AM	
141	880	1	5	12/17/23 08:17:42 AM	
142	880	1	5	12/17/23 08:17:47 AM	
143	880	1	5	12/17/23 08:17:53 AM	
144	880	1	5	12/17/23 08:17:58 AM	
145	880	0	5	12/17/23 08:18:03 AM	
146	880	0	5	12/17/23 08:18:08 AM	
147	880	1	5	12/17/23 08:18:13 AM	
148	880	4	5	12/17/23 08:18:19 AM	
149	880	0	5	12/17/23 08:18:24 AM	
150	880	1	5	12/17/23 08:18:29 AM	
151	880	2	5	12/17/23 08:18:34 AM	
152	880	5	5	12/17/23 08:18:39 AM	
153	880	4	5	12/17/23 08:18:44 AM	
154	880	1	5	12/17/23 08:18:50 AM	
155	880	1	5	12/17/23 08:18:55 AM	
156	880	0	5	12/17/23 08:19:00 AM	
157	880	2	5	12/17/23 08:19:05 AM	
158	880	3	5	12/17/23 08:19:10 AM	
159	880	1	5	12/17/23 08:19:16 AM	
160	880	3	5	12/17/23 08:19:21 AM	
161	880	0	5	12/17/23 08:19:26 AM	
162	880	1	5	12/17/23 08:19:31 AM	
163	880	4	5	12/17/23 08:19:36 AM	
164	880	0	5	12/17/23 08:19:41 AM	
165	880	1	5	12/17/23 08:19:47 AM	
166	880	0	5	12/17/23 08:19:52 AM	
167	880	1	5	12/17/23 08:19:57 AM	
168	880	2	5	12/17/23 08:20:02 AM	
169	880	0	5	12/17/23 08:20:07 AM	
170	880	2	5	12/17/23 08:20:13 AM	
171	880	1	5	12/17/23 08:20:18 AM	
172	880	1	5	12/17/23 08:20:23 AM	
173	880	1	5	12/17/23 08:20:28 AM	
174	880	0	5	12/17/23 08:20:33 AM	
175	880	0	5	12/17/23 08:20:38 AM	
176	880	0	5	12/17/23 08:20:44 AM	
177	880	1	5	12/17/23 08:20:49 AM	
178	880	1	5	12/17/23 08:20:54 AM	
179	880	2	5	12/17/23 08:20:59 AM	
180	880	1	5	12/17/23 08:21:04 AM	
181	880	0	5	12/17/23 08:21:09 AM	
182	880	4	5	12/17/23 08:21:15 AM	
183	880	1	5	12/17/23 08:21:20 AM	
184	880	0	5	12/17/23 08:21:25 AM	
185	880	2	5	12/17/23 08:21:30 AM	
186	880	0	5	12/17/23 08:21:35 AM	
187	880	0	5	12/17/23 08:21:41 AM	
188	880	2	5	12/17/23 08:21:46 AM	
189	880	0	5	12/17/23 08:21:51 AM	
190	880	1	5	12/17/23 08:21:56 AM	
191	880	0	5	12/17/23 08:22:01 AM	
192	880	0	5	12/17/23 08:22:06 AM	
193	880	3	5	12/17/23 08:22:12 AM	
194	880	0	5	12/17/23 08:22:17 AM	
195	880	3	5	12/17/23 08:22:22 AM	
196	880	2	5	12/17/23 08:22:27 AM	
197	880	1	5	12/17/23 08:22:32 AM	
198	880	1	5	12/17/23 08:22:38 AM	
199	880	0	5	12/17/23 08:22:43 AM	
200	880	1	5	12/17/23 08:22:48 AM	
201	880	0	5	12/17/23 08:22:53 AM	
202	880	2	5	12/17/23 08:22:58 AM	
203	880	1	5	12/17/23 08:23:03 AM	
204	880	2	5	12/17/23 08:23:09 AM	
205	880	2	5	12/17/23 08:23:14 AM	
206	880	2	5	12/17/23 08:23:19 AM	
207	880	2	5	12/17/23 08:23:24 AM	
208	880	1	5	12/17/23 08:23:29 AM	
209	880	0	5	12/17/23 08:23:35 AM	
210	880	2	5	12/17/23 08:23:40 AM	
211	880	0	5	12/17/23 08:23:45 AM	
212	880	2	5	12/17/23 08:23:50 AM	
213	880	1	5	12/17/23 08:23:55 AM	
214	880	0	5	12/17/23 08:24:01 AM	
215	880	1	5	12/17/23 08:24:06 AM	
216	880	2	5	12/17/23 08:24:11 AM	
217	880	1	5	12/17/23 08:24:16 AM	
218	880	1	5	12/17/23 08:24:21 AM	
219	880	1	5	12/17/23 08:24:26 AM	
220	880	0	5	12/17/23 08:24:32 AM	
221	880	0	5	12/17/23 08:24:37 AM	
222	880	1	5	12/17/23 08:24:42 AM	
223	880	1	5	12/17/23 08:24:47 AM	
224	880	3	5	12/17/23 08:24:52 AM	
225	880	2	5	12/17/23 08:24:58 AM	
226	880	1	5	12/17/23 08:25:03 AM	
227	880	0	5	12/17/23 08:25:08 AM	
228	880	0	5	12/17/23 08:25:13 AM	
229	880	0	5	12/17/23 08:25:19 AM	
230	880	2	5	12/17/23 08:25:24 AM	
231	880	0	5	12/17/23 08:25:29 AM	
232	880	0	5	12/17/23 08:25:34 AM	
233	880	3	5	12/17/23 08:25:39 AM	
234	880	1	5	12/17/23 08:25:45 AM	
235	880	0	5	12/17/23 08:25:50 AM	
236	880	0	5	12/17/23 08:25:55 AM	
237	880	0	5	12/17/23 08:26:00 AM	
238	880	1	5	12/17/23 08:26:05 AM	
239	880	2	5	12/17/23 08:26:10 AM	
240	880	1	5	12/17/23 08:26:16 AM	
241	880	1	5	12/17/23 08:26:21 AM	
242	880	1	5	12/17/23 08:26:26 AM	
243	880	1	5	12/17/23 08:26:31 AM	
244	880	0	5	12/17/23 08:26:36 AM	
245	880	1	5	12/17/23 08:26:41 AM	
246	880	0	5	12/17/23 08:26:47 AM	
247	880	0	5	12/17/23 08:26:52 AM	
248	880	3	5	12/17/23 08:26:57 AM	
249	880	2	5	12/17/23 08:27:02 AM	
250	880	1	5	12/17/23 08:27:07 AM	
251	880	5	5	12/17/23 08:27:13 AM	
252	880	1	5	12/17/23 08:27:18 AM	
253	880	0	5	12/17/23 08:27:23 AM	
254	880	0	5	12/17/23 08:27:28 AM	
255	880	3	5	12/17/23 08:27:33 AM	
256	880	2	5	12/17/23 08:27:38 AM	
257	880	1	5	12/17/23 08:27:44 AM	
258	880	2	5	12/17/23 08:27:49 AM	
259	880	2	5	12/17/23 08:27:54 AM	
260	880	0	5	12/17/23 08:27:59 AM	
261	880	1	5	12/17/23 08:28:04 AM	
262	880	2	5	12/17/23 08:28:10 AM	
263	880	3	5	12/17/23 08:28:15 AM	
264	880	2	5	12/17/23 08:28:20 AM	
265	880	1	5	12/17/23 08:28:25 AM	
266	880	0	5	12/17/23 08:28:30 AM	
267	880	2	5	12/17/23 08:28:35 AM	
268	880	0	5	12/17/23 08:28:41 AM	
269	880	0	5	12/17/23 08:28:46 AM	
270	880	0	5	12/17/23 08:28:51 AM	
271	880	1	5	12/17/23 08:28:56 AM	
272	880	0	5	12/17/23 08:29:01 AM	
273	880	2	5	12/17/23 08:29:07 AM	
274	880	1	5	12/17/23 08:29:12 AM	
275	880	3	5	12/17/23 08:29:17 AM	
276	880	0	5	12/17/23 08:29:22 AM	
277	880	4	5	12/17/23 08:29:27 AM	
278	880	0	5	12/17/23 08:29:33 AM	
279	880	2	5	12/17/23 08:29:38 AM	
280	880	5	5	12/17/23 08:29:43 AM	
281	880	1	5	12/17/23 08:29:48 AM	
282	880	3	5	12/17/23 08:29:53 AM	
283	880	2	5	12/17/23 08:29:58 AM	
284	880	0	5	12/17/23 08:30:04 AM	
285	880	1	5	12/17/23 08:30:09 AM	
286	880	1	5	12/17/23 08:30:14 AM	
287	880	2	5	12/17/23 08:30:19 AM	
288	880	2	5	12/17/23 08:30:24 AM	
289	880	5	5	12/17/23 08:30:29 AM	
290	880	1	5	12/17/23 08:30:35 AM	
291	880	1	5	12/17/23 08:30:40 AM	
292	880	1	5	12/17/23 08:30:45 AM	
293	880	2	5	12/17/23 08:30:50 AM	
294	880	2	5	12/17/23 08:30:55 AM	
295	880	3	5	12/17/23 08:31:01 AM	
296	880	1	5	12/17/23 08:31:06 AM	
297	880	2	5	12/17/23 08:31:11 AM	
298	880	0	5	12/17/23 08:31:16 AM	
299	880	0	5	12/17/23 08:31:21 AM	
300	880	0	5	12/17/23 08:31:27 AM	
301	880	3	5	12/17/23 08:31:32 AM	
302	880	0	5	12/17/23 08:31:37 AM	
303	880	0	5	12/17/23 08:31:42 AM	
304	880	1	5	12/17/23 08:31:47 AM	
305	880	1	5	12/17/23 08:31:52 AM	
306	880	3	5	12/17/23 08:31:58 AM	
307	880	0	5	12/17/23 08:32:03 AM	
308	880	3	5	12/17/23 08:32:08 AM	
309	880	0	5	12/17/23 08:32:13 AM	
310	880	1	5	12/17/23 08:32:18 AM	
311	880	1	5	12/17/23 08:32:24 AM	
312	880	2	5	12/17/23 08:32:29 AM	
313	880	1	5	12/17/23 08:32:34 AM	
314	880	0	5	12/17/23 08:32:39 AM	
315	880	2	5	12/17/23 08:32:44 AM	
